ProjectTypes,LEEDSystemVersionDisplayName,Count
Higher Education,LEED-NC 2.2,43
Multi-Unit Residence,LEED-NC v2009,3
"Commercial Office, Restaurant, Retail, Multi-Unit Residence, Hotel/Resort, Transportation, Park (eg. greenway)",LEED-ND Project Registration 1.0,1
"Commercial Office, Laboratory, Public Order/Safety",LEED-NC 2.2,1
"Commercial Office, Assembly, Military Base, Other",LEED-NC 2.2,1
Retail,LEED-NC 2.1,10
Office: Financial,LEED-NC v2009,3
Multi-Family Residential: Apartment,LEED-NC v2009,67
"Commercial Office, Transportation, Campus (corp/school), Other",LEED-NC 2.2,1
Healthcare: Clinic/Other Outpatient,LEED-CS v2009,1
"Special Needs, Higher Education, Restaurant, Assembly",LEED-NC 2.2,1
Commercial Office,LEED-NC 2.2,50
"Commercial Office, Laboratory, Assembly",LEED-NC 2.2,1
"Special Needs, Commercial Office, Restaurant, Retail, Financial & Comm., Multi-Unit Residence, Hotel/Resort, Health Care, Interpretive Center, Transportation, Daycare, Higher Education, Recreation, Park (eg. greenway)",LEED-ND Project Registration 1.0,1
Health Care: Nursing Home/ Assisted Living,LEED-NC v2009,1
"Restaurant, Community Dev.",LEED-NC 2.2,1
Public Assembly: Library,LEED-NC v2009,16
"Retail, Military Base",LEED-NC 2.2,4
"Community Dev., Assembly, Other",LEED-NC 2.2,1
"Health Care: Outpatient, Office (Diagnostic)",LEED-CI v2009,1
"K-12 Education, Recreation, Park (eg. greenway)",LEED-NC 2.2,1
"Retail, Financial & Comm.",LEED-NC 2.1,1
Public Assembly: Entertainment,LEED-CS v2009,1
"Library, Assembly",LEED-NC 2.2,1
"Retail, Restaurant",LEED-NC 2.2,2
"Military Base, Other",LEED-NC 2.2,31
"",LEED-NC 2.1,1
"Retail, Laboratory, Assembly, Higher Education, Library",LEED-NC 2.2,1
"Daycare, Community Dev.",LEED-NC 2.2,1
Service: Other Service,LEED-CI v2009,3
Retail: Fast Food,LEED-NC Retail v2009,1
