ProjectTypes,LEEDSystemVersionDisplayName,Count
Multi-Unit Residence,LEED For Homes Multi Family Low-Rise,16
"Commercial Office, Assembly, Higher Education, Campus (corp/school)",LEED-NC 2.2,1
"Daycare, Other",LEED-CI 2.0,1
Core Learning Space: College/University,LEED v4 BD+C: NC,1
"Commercial Office, Assembly, Daycare, Recreation, Library, Park (eg. greenway), Community Dev.",LEED-NC 2.2,1
Lodging: Other lodging,LEED-NC v2009,14
"Commercial Office, Retail",LEED for Retail (CI) Pilot,1
"Assembly, Daycare, Recreation, Community Dev.",LEED-NC 2.2,1
"Restaurant, Military Base",LEED-NC 2.2,3
"Laboratory, Higher Education",LEED-NC 2.2,5
Multi-Unit Residence,LEED-NC 2.2,26
"Commercial Office, Retail, Higher Education",LEED-CS 2.0,1
"Commercial Office, Retail, Library",LEED-EB O&M,1
"Commercial Office, Daycare",LEED-EB O&M,1
Higher Education,LEED-EB:OM v2009,1
"Public Order/Safety, Campus (corp/school), Other",LEED-NC 2.2,1
"Commercial Office, Restaurant, Retail, Interpretive Center, Transportation",LEED-ND Project Registration 1.0,1
Health Care: Inpatient,LEED-CI v2009,4
"Multi-Unit Residence, Commercial Office, Retail",LEED-CS 2.0,1
"K-12 Education, Library",LEED-NC 2.2,1
"Recreation, Higher Education",LEED-NC 2.1,1
"Commercial Office, Higher Education, Military Base",LEED-NC 2.2,1
Higher Education,LEED-NC v2009,4
"Multi-Unit Residence, Single-Family Home, Commercial Office, Hotel/Resort",LEED-CS 2.0,5
"Higher Education, Recreation",LEED-NC 2.2,1
"Commercial Office, Interpretive Center, Other",LEED-CI 2.0,1
Single-Family (Attached),LEED For Homes Single Family,157
"Commercial Office, Multi-Unit Residence, Military Base",LEED-NC 2.2,1
"Higher Education, Restaurant, Campus (corp/school), Community Dev., Assembly",LEED-NC 2.2,1
"Multi-Unit Residence, Affordable Housing",LEED For Homes Multi Family Mid-Rise,1
"Hotel/Resort, Restaurant",LEED-EB 2.0,4
Commercial Office,LEED-CI 2.0,71
Commercial Office,LEED-EB O&M,62
"Retail, Higher Education, Restaurant, Library, Campus (corp/school), Assembly",LEED-CI 2.0,1
"Animal Care, Interpretive Center",LEED-NC 2.2,1
Datacenter,LEED-NC v2009,6
"Laboratory, Higher Education, Restaurant, Library, Campus (corp/school), Assembly",LEED-NC 2.2,1
Retail: Open Shopping Center,LEED-CS v2009,3
"Multi-Unit Residence, Higher Education",LEED-NC 2.2,3
"Lodging: Hotel/Motel/Resort, Select Service",LEED-NC v2009,6
Office: Government,LEED-CI v2009,30
"Commercial Office, Park (eg. greenway), Community Dev.",LEED-NC 2.2,1
"Multi-Unit Residence, Single-Family Home, Health Care",LEED For Homes Multi Family Low-Rise,1
Service: Vehicle Storage/Maintenance,LEED-NC v2009,5
Special Needs,LEED-NC 2.2,2
"Multi-Unit Residence, Assembly",LEED-NC 2.2,1
Core Learning Space: Other classroom education,LEED-CI v2009,2
"Recreation, Other",LEED-NC 2.2,1
"Commercial Office, Military Base",LEED-NC 2.1,1
Industrial,LEED-NC 2.2,5
Retail: Restaurant/Cafeteria,LEED-CI v2009,2
"Special Needs, Health Care",LEED-NC 2.2,1
"Commercial Office, Laboratory",LEED-CI 2.0,1
Retail,LEED-EB:OM v2009,1
"Commercial Office, Retail, Health Care, Recreation, Financial & Comm.",LEED-NC 2.2,1
Public Order and Safety: Fire/Police Station,LEED-NC v2009,23
"Assembly, Daycare, Recreation, Community Dev.",LEED-NC 2.1,1
"Core Learning Space: K-12, Elementary/Middle School",LEED FOR SCHOOLS v2009,17
Healthcare: Clinic/Other Outpatient,LEED-NC v2009,2
"Health Care: Outpatient, Office (Diagnostic)",LEED-HC v2009,2
